iter	Passed	Remaining
966	69296	2364
967	69368	2293
968	69438	2221
969	69506	2149
970	69576	2077
971	69649	2006
972	69722	1934
973	69796	1863
974	69866	1791
975	69940	1719
976	70016	1648
977	70084	1576
978	70155	1504
979	70223	1433
980	70297	1361
981	70367	1289
982	70438	1218
983	70509	1146
984	70579	1074
985	70647	1003
986	70715	931
987	70786	859
988	70856	788
989	70925	716
990	70996	644
991	71064	573
992	71131	501
993	71201	429
994	71271	358
995	71344	286
996	71413	214
997	71481	143
998	71551	71
999	71620	0
